Definition	Acronym	AcronymID
Shared Establishment Data Service (FHA)	SEDS	1916
degenerative joint disease	DJD	1917
sudden infant death syndrome	SIDS	1918
Society of Interventional Radiology (formerly SCVIR)	SIR	1919
diabetic ketoacidosis	DKA	1920
Sandia National Laboratories	SNL	1921
International Society for Optical Engineering	SPIE	1922
deciliter	dL	1923
Social Security Administration (U.S.)	SSA	1924
Suggested State Regulations for Control of Radiation	SSRCR	1925
drug listing rule	DLR	1926
Technical Electronic Product Radiation Safety Standards  Committee   	TEPRSSC	1927
temporomandibular joint	TMJ	1928
Total Quality Management	TQM	1929
diabetes mellitus	DM	1930
Turbo Establishment Inspection Report (ORA)	Turbo EIR	1931
dimethylsulfoxide	DMSO	1932
deoxyribonucleic acid	DNA	1933
do not resuscitate	DNR	1934
dead on arrival	DOA	1935
dyspnea on exertion	DOE	1936
Department of Transportation (U.S.)	DOT	1938
Federal Aviation Administration (U.S. Department of Transportation)	FAA	1939
system for electronically communicating approved drug labeling and for disseminating prescribing information	FACTS@FDA	1940
Federal Bureau of Investigation (U.S. Department of Justice)	FBI	1941
fasting blood sugar	FBS	1942
"diphtheria, pertussis, and tetanus"	DPT	1943
Federal Executive Board	FEB	1944
FDA Establishment Identifier (ORA)	FEI	1945
fresh frozen plasma	FFP	1946
Food Facility Registration Module (FURLS)	FFRM	1947
Federal Health Architecture	FHA	1948
Device Registration and Listing Module (FURLS)	DRLM	1949
Firms Master List (ORA)	FML	1950
functional residual capacity	FRC	1951
failure to thrive	FTT	1952
fever of unknown origin	FUO	1953
FDA Uniform Registration & Listing System	FURLS	1954
forced vital capacity	FVC	1955
deep tendon reflexes	DTR	1956
fracture	Fx	1957
deep venous thrombosis	DVT	1958
diagnosis	DX	1959
essential amino acids	EAA	1960
Emergency Care Research Institute (no longer uses name initials only)	ECRI	1961
electroconvulsive therapy	ECT	1962
Electronic Drug Registration and Listing Systems	eDRLS	1963
Environmental Health Policy Committee (formerly CCEHRP) (currently inactive)	EHPC	1964
electronic listing system	eLIST	1965
Engineering in Medicine and Biology Society (IEEE)	EMBS	1966
electromagnetic compatibility	EMC	1967
electromagnetic interference	EMI	1968
eye-motor-verbal (Glasgow coma scale)	EMV	1970
"ear, nose and throat"	ENT	1971
extraocular muscles	EOM	1972
Egg Products Inspection Act	EPIA	1974
Engineering Research Center (NSF)	ERC	1975
endoscopic retrograde cholangio-pancreatography	ERCP	1976
erythrocyte sedimentation rate	ESR	1977
endotracheal	ET	1978
ethanol	EtOH	1979
endotracheal tube	ETT	1980
examination under anesthesia	EUA	1981
National Voluntary Laboratory Accreditation Program  (NIST)	NVLAP	1982
Association of American Feed Control Officials	AAFCO	1983
Automated Broker Interface (U.S. Customs)	ABI	1984
American Feed Industry Association	AFIA	1985
Association of Public Health Laboratories	APHL	1986
Bioterrorism Act (Public Health Security and Bioterrorism Preparedness and Response Act of 2002)	BT Act	1987
Biosafety level	BSL	1988
Central Intelligence Agency (U.S.)	CIA	1989
Critical infrastructure and key resources	CI/KR	1990
Critical Infrastructure Protection Program	CIPP	1991
Critical Infrastructure Protection 	CIP	1992
Comisi?n Federal para la Protecci?n contra Riesgos Sanitarios (Federal Commission for the Protection Against Sanitary Risks) (Mexico)	COFEPRIS	1993
continuity of operations plan	COOP	1994
Electronic Laboratory Exchange Network	eLEXNET	1995
Emergency Operations Center (FDA)	EOC	1996
Food Emergency Response Network	FERN	1997
Comisi?n Federal para la Protecci?n contra Riesgos Sanitarios (Federal Commission for the Protection Against Sanitary Risks) (Mexico)	FGIS	1998
Food Products Association	FPA	1999
Government Coordinating Council [of the Food and Agriculture Sector]	GCC	2000
for official use only	FOUO	2001
Grocery Manufacturers Association	GMA	2002
heat labile bacterial toxins	HLBT	2003
heat stable bacterial toxins	HSBT	2004
Homeland Security Information Network	HSIN	2005
Homeland Security Operations Center	HSOC	2006
Homeland Security Presidential Directive	HSPD	2007
Institute of Food Technologists	IFT	2008
Interagency Food Working Group	IFWG	2009
Information Sharing and Analysis Center	ISAC	2010
affirmation of compliance [codes] (ORA)	AofC	2011
RCHSA (Radiation Control for Health and Safety Act) accession number (ORA AofC code)	ACC	2012
food additive identification number (ORA AofC code)	AIN	2013
abbreviated new animal drug number (ORA AofC code)	ANA	2014
Biologic establishment license number (ORA AofC code)	BFL	2015
biologic product license number (ORA AofC code)	BPL	2016
Chinese ceramicware factory code (ORA AofC code)	CCC	2017
Code of Federal Regulations section (ORA AofC code)	CFR	2018
Color Index number (ORA AofC code)	CIN	2019
cosmetic registration number (ORA AofC code)	COS	2020
device registration number (ORA AofC code)	DEV	2021
dioxin health certificate (ORA AofC code)	DHC	2022
drug listing number (ORA AofC code)	DLS	2023
entry review recommended (ORA AofC code)	ERR	2024
abbreviated new drug application number (ORA AofC code)	AND	2025
food additive petition approval number (ORA AofC code)	FAP	2026
French cheese facility certification number (ORA AofC code)	FCC	2027
food canning establishment number (ORA aofC code)	FCE	2028
Indian black pepper certificate (ORA AofC code)	IBP	2029
investigational device exemption number (ORA AofC code)	IDE	2030
import for export (ORA AofC code)	IFE	2031
investigational new animal drug number (ORA AofC code)	INA	2032
investigational new drug number (ORA AofC code)	IND	2033
impact resistance lens certification (ORA AofC code)	IRC	2034
low-value food/food-related products less than or equal to $200 (ORA AofC code)	LF1	2035
low-value food/food-related products greater than $200 and less than or equal to $500 (ORA AofC codes)	LF2	2036
low-value food/food-related products greater than $500 and less than or equal to $1000 (ORA AofC code)	LF3	2037
low-value non-Rx radiation-emitting products less than or equal to $200 (ORA AofC code)	LR1	2038
low-value non-Rx radiation-emitting products greater than $200 and less than or equal to $1000 (ORA AofC code)	LR2	2039
device listing number (ORA AofC code)	LST	2040
electrode lead wire or patient cable (ORA AofC code)	LWC	2041
medicated feed application number (ORA AofC code)	MFA	2042
model number (ORA AofC code)	MDL	2043
ned animal drug number (ORA AofC code)	NAD	2044
new drug application number (ORA AofC code)	NDA	2045
private analytical certificate date (ORA AofC code)	PAC	2046
device premarket approval number (ORA AofC code)	PMA	2047
device premarket notification number (510k) (ORA AofC code)	PMN	2048
drug registration number (ORA AofC code)	REG	2049
schedule identifier number (ORA AofC code)	SID	2050
seafood HACCP importer form (ORA AofC code)	SIF	2051
unacceptable to foreign country (ORA AofC code)	UFC	2052
Cancer Biomedical Informatics Grid (NIH)	caBIG	2053
Health Industry Business Communication Council	HIBCC	2054
digital video disc	DVD	2055
light amplification by stimulated emission of radiation	LASER	2056
radio detecting and ranging	RADAR	2057
extensively drug-resistant tuberculosis	XDR-TB	2058
Joint Regional Information Exchange System	JRIES	2059
Laboratory Response Network (CDC)	LRN	2060
lipid soluble heat labile chemicals	LSHLC	2061
lipid soluable heat stable chemical	LSHSC	2062
National Association of County and City Health Officials	NACCHO	2063
National Association of Local Boards of Health	NALBOH	2064
National Association of State Departments of Agriculture	NASDA	2065
National Environmental Health Association	NEHA	2066
National Grain and Feed Association	NGFA	2067
National Infrastructure Protection Plan	NIPP	2068
Office of Public Health Emergency Preparedness (HHS)	OPHEP	2069
operational risk management	ORM	2070
prior notice system interface	PNSI	2071
Sector Coordinating Council [for Food and Agriculture]	SCC	2072
Office of Public Health Emergency Preparedness (HHS)	OPHEP	2073
operational risk management	ORM	2074
spore-forming bacteria	SFB	2076
Strategic Partnership Program Agroterrorism Initiative	SPPA	2077
sector-specific agencies	SSA	2078
sector-specific plan	SSP	2079
Top Officials [terrorism exercise]	TOPOFF	2080
United States Animal Health Association	USAHA	2081
after action review	AAR	2082
Assistant Secretary of Defense for Homeland Defense	ASD (HD)	2083
"vegetative bacteria, protozoa and viruses"	VBPF	2084
Business Executives for National Security	BENS	2085
Bureau of Indian Affairs (U.S. Department of the Interior)	BIA	2086
Bureau of Land Management (U.S. Department of the Interior)	BLM	2087
"water soluble, heat stable chemicals "	WSHSC	2088
"communications, command, control, and intelligence"	C3I	2089
Community Emergency Response Team	CERT	2090
catastrophic incident supplement (FEMA)	CIS	2091
concept of operations	CONOPS	2092
Hurricane Katrina Comprehensive Review Working Group	CRWG	2093
Counterterrorism Security Group	CSG	2094
Disaster Medical Assistance Team	DMAT	2095
Disaster Mortuary Operational Response Team	DMORT	2096
Department of Education (U.S.)	DOEd	2097
Disaster Portable Morgue Unit (PHS)	DPMU	2098
Disaster Recovery Center	DRC	2099
Disaster Response Group	DRG	2100
Deputy United States Marshal (U.S. Department of Justice)	DUSM	2101
Emergency Alert System	EAS	2102
Emergency Broadcast System	EBS	2103
electronic health record	EHR	2104
Emergency Management Assistance Compact	EMAC	2105
Emergency Medical Services	EMS	2106
Emergency Response Team	ERT	2107
Emergency Support Function	ESF	2108
Federal Coordinating Officer	FCO	2109
Immediate Office	IO	2110
FDA Internet Improvement Team	FIT	2111
Committee for the Purpose of Control and Supervision on Experiments on Animals (India)	CPCSEA	2112
Federal Hazardous Substances Act (Consumer Product Safety Commission)	FHSA	2113
serotonin-norepinephrine reuptake inhibitor	SNRI	2114
Alliance for Prudent Use of Antibiotics	APUA	2115
postmarketing commitment	PMC	2117
"indefinite-delivery, indefinite-quantity [contracts]"	IDIQ	2118
blanket purchase agreement	BPA	2119
electronic Official Personnel File	eOFP	2120
Regional Food and Drug Director	RFDD	2121
American Hospital Formulary Service	AHFS	2122
Reproductive and Developmental Toxicology Subcommittee (CDER)	RDTS	2123
American Association of Tissue Banks	AATB	2124
Advisory Committee on Immunization Practices (CDC)	ACIP	2125
American Red Cross	ARC	2126
assisted reproductive therapy	ART	2127
assisted reproductive technology	ART	2128
American Society for Reproductive Medicine	ASRM	2129
Biomedical Advanced Research and Development Authority	BARDA	2130
Blood Availability and Safety Inventory System (HHS)	BASIS	2131
biological product deviation	BPD	2132
Biological Response Modifiers Advisory Committee (CBER)	BRMAC	2133
cord blood stem cells	CBSC	2134
current good tissue practice 	CGTP	2135
"Committee on International Science, Engineering and Technology"	CISET	2136
clinical research organization	CRO	2137
"diphtheria, tetanus, and pertussis [vaccine]"	DTaP	2138
Eye Bank Association of America	EBAA	2139
electronic biological product deviation reporting	eBPDR	2140
Enzyme-linked immunosorbent assay	ELISA	2141
"Federal Food, Drug and Cosmetic Act of 1938"	FFD & C	2142
Genetic Modification Clinical Research Information System (NIH)	GeMCRIS	2143
Gene Therapy Information System 	GTIS	2144
hepatitis C virus	HCV	2146
human cellular and tissue-based products 	HCT/P	2147
human neonatal kidney cells	HNK cells	2148
human papillomavirus	HPV	2149
human T-lymphotropic virus	HTLV	2150
International Plasma Products Industry Association	IPPIA	2152
inactivated poliovirus vaccine	IPV	2154
Intramural Research Training Award (NIH)	IRTA	2155
intravenous immunoglobulin	IVIG	2156
modular antigen transporter	MAT	2157
Medical Event Reporting System - Transfusion Medicine	MERS-TM	2158
nucleic acid-based tests	NAT	2159
National Incident Management System (FEMA)  	NIMS	2160
Nicholson Lane Research Center	NLRC	2161
National Vaccine Injury Compensation Program	NVICP	2162
National Vaccine Program	NVP	2163
Office of Biotechnology Activities (NIH)	OBA	2164
oral polio vaccine	OPV	2165
ornithine transcarbamylase deficiency	OTC	2166
Program Assessment Rating Tool	PART	2167
peripheral blood stem cell	PBSC	2168
polymerase chain reaction	PCR	2169
product-enhanced reverse transcriptase 	PERT	2170
porcine endogenous retrovirus	PERV	2171
Parklawn Building	PKLN	2172
Plasma Protein Therapeutics Association	PPTA	2173
Recombinant DNA Advisory Committee (NIH)	RAC	2174
Red blood cells	RBC	2175
Rockwall Building I	RKW1	2176
Rockwall Building II	RKW2	2177
ribonucleic acid	RNA	2178
Resource Reporting System (CBER)	RRS	2179
respiratory syncytial virus	RSV	2180
Mobile Automated Regulatory Services (ORA)	MARS	2181
Federal Protective Service (Department of Homeland Security)	FPS	2182
Federal Response Plan (FEMA)	FRP	2183
Health and Human Services Secretary's Emergency Response Team	HHS SERT	2184
Hurricane Liaison Team (FEMA)	HLT	2185
Homeland Security Council	HSC	2186
Department of Housing and Urban Development (U.S.)	HUD	2187
Immigration and Customs Enforcement (Department of Homeland Security)	ICE	2188
Incident Command System	ICS	2189
Interagency Incident Management Group	IIMG	2190
Incident Management Team	IMT	2191
incident of national significance	INS	2192
immediate response authority 	IRA	2193
Joint Force Headquarters	JFHQ	2194
Joint Field Office	JFO	2195
Joint Information Center	JIC	2196
Joint Task Force	JTF	2197
Law Enforcement Coordination Committee	LECC	2198
Medical Reserve Corps (U.S. Public Health Service)	MRC	2199
"meal, ready-to-eat"	MRE	2200
National Association of Search and Rescue	NASAR	2201
National Coordinating Committee	NCC	2202
National Communications System	NCS	2203
senior federal law enforcement official	SFLEO	2204
National Exercise Simulation Center	SIMCEN	2205
state liaison officer	SLO	2206
strategic national stockpile (CDC)	SNS	2207
special temporary authority	STA	2208
Special Weapons and Tactics	SWAT	2209
Transportation Security Administration (Department of Homeland Security)	TSA	2210
United States Army Corps of Engineers	USACE	2211
United States Coast Guard	USCG	2212
United States Forest Service (U.S. Department of Agriculture)	USFS	2213
United States Joint Forces Command	USJFCOM	2214
urban search and rescue	US & R	2215
Volunteer Organizations Active in a Disaster	VOAD	2216
Vice Admiral	VADM	2217
National Disaster Medical System	NDMS	2218
National Exercise and Evaluation Program	NEEP	2219
National Emergency Management Association	NEMA	2220
National Exercise Program (Department of Homeland Security)	NEP	2221
National Geospatial-Intelligence Agency	NGA	2222
National Guard Bureal	NGB	2223
National Hurricane Center	NHC	2224
National Incident Communications Conference Line	NICCL	2225
National Interagency Fire Center	NIFC	2226
National Infrastructure Simulation and Analysis Center (Department of Homeland Security)	NISAC	2227
National Operations Center	NOC	2228
National Preparedness Goal	NPG	2229
National Park Service (Department of the Interior)	NPS	2230
National Response Coordination Center	NRCC	2231
National Response Plan (Department of Homeland Security)	NRP	2232
National Response Plan Catastrophic Incident Supplement	NRP-CIS	2233
National Security Council	NSC	2234
National Security and Emergency Preparedness	NS/EP	2235
National Telecommunications and Information Administration (U.S.)	NTIA	2236
National Volunteer Organizations Active in Disaster	NVOAD	2237
NOAA Weather Radio	NWR	2238
National Weather Service	NWS	2239
Office of Foreign Disaster Assistance	OFDA	2240
Office of the Secretary of Defense for Homeland Defense	OSD-HD	2241
Office of Surface Mining (Department of the Interior)	OSM	2242
Office of Science and Technology Policy (U.S.)	OSTP	2243
Public Affairs Office	PAO	2244
principal federal official	PFO	2245
Remedial Action Management Program	RAMP	2246
Regional Response Coordination Center (FEMA)	RRCC	2247
"reception, staging, onward movement, and integration"	RSOI	2248
search and rescue	SAR	2249
Senior Civilian Representative of the Attorney Gemeral (Department of Homeland Security)	SCRAG	2250
severe acute respiratory syndrome 	SARS	2251
transfusion-related acute lung injury	TRALI	2252
internet-based blood shortage reporting program (FDA)	Trans Net	2253
Transmissible Spongiform Encephalopathies Advisory Committee (CBER) 	TSEAC	2254
U.S. Army Medical Research Institute for Infectious Diseases	USAMRIID	2255
vaccinia immune globulin	VIG	2256
Venezuelan equine encephalomyelitis 	VEE	2257
Vaccines and Related Biological Products Advisory Committee (CBER)	VRBPAC	2258
West Nile virus	WNV	2259
White Oak Campus - FDA	WO	2260
Woodmont Office Complex I (north)	WOC I	2261
Woodmont Office Complex II (south)	WOC II	2262
X-linked severe combined immunodeficiency disorder 	X-SCID	2263
section û shorthand symbol used to designate a section in a legal document; as in º201(m) of the FD&C Act.	º	2266
"sections û shorthand symbol used to designate sections in a legal document; as in ºº201(m), 301(k) of the FD&C Act."	ºº	2267
FDA form for notice of inspection	482	2268
American Blood Commission	ABC	2269
AmericaÆs Blood Centers 	ABC	2270
adverse biologic experience 	ABE	2271
application briefing meeting 	ABM	2272
American Blood Resource Association	ABRA	2273
Associate Commissioner for Regulatory Affairs (ORA)	ACRA (ORA)	2275
AIDS clinical trials 	ACT	2276
action due 	AD	2279
absorbable fibrin adhesive bandage	AFAB	2281
antihemophilic factor	AHF	2282
air handling unit	AHU	2283
Association for Automatic Identification and Mobility 	AIM	2284
American National Red Cross 	ANRC	2285
advanced notice of proposed rule making	ANPRM	2286
Allergenic Products Advisory Committee  (CBER)	APAC	2287
Application Policy Task Force	APTF	2291
approvable letter	AR	2292
Arkansas Regional Laboratory (ORA)	ARL (ORA)	2293
Armed Services Blood Program Office	ASBPO	2294
"American Society of Heating, Refrigeration & Air Conditioning Engineers"	ASHRAE	2295
analyte specific reagent	ASR	2297
AIDS Vaccine Evaluation Group	AVEG	2299
Association of Donor Recruitment Professionals	ADRP	2300
Bacterial Contamination study	BaCON	2301
Aids Clinical Trials Information Service	ACTIS	2302
Advisory Committee on Blood Safety and Availability (HHS)	ACBSA	2303
Application Specific Integrated Circuit(s)	ASICS	2304
Bacteriological Analytical Manual  	BAM	2305
Blood Center of America	BCA	2306
Biologic Devices Branch (CBER)	BDB	2307
Blood Donor Locator Service	BDLS	2308
Biologics Decision Support System	BDSS	2309
blood establishment computer software	BECS	2310
Biologics Field Advisory Committee (CBER)	BFAC	2311
Blood Service Directive 	BSD	2312
biological safety cabinet	BSC	2313
biologics license supplement	BLS	2314
Boston (Massachusetts) District Office (ORA)	BOS-DO (ORA)	2316
broncho-pulmonary dysplasia	BPD	2318
business process re-engineering 	BPR	2319
Blood Safety Committee	BSC	2320
bioterrorism	BT	2322
Blood and Tissue Registration System	BTR	2323
Buffalo (New York) District Office (ORA)	BUF-DO (ORA)	2324
BIMS User Support Group	BUS	2325
basic workload measurement	BWM	2326
committee assignment	CA	2327
corrective action(s) being effected	CABE	2328
Committee for the Advancement of CBER Science	CACBERS	2329
Committee for the Advancement of FDA Science	CAFDAS	2330
corrective action plan	CAP	2332
College of American Pathologists	CAP	2334
computer-assisted license application	CALA	2335
Computer-Assisted Product License Application Review 	CAPLAR	2336
Coordinating Committee	CC	2337
Council of Community Blood Centers	CCBC	2338
corrected count increment	CCI	2339
CDER request for collaborative review	CCR	2340
Component Distribution Information System	CDIS	2341
Comite Europeen de Normalisation (European Committee for Standardization)	CEN	2342
CBER Emergency Relocation Group	CERG	2343
colony forming unit	CFU	2344
computer-generated cover sheet 	CGCS	2345
Current Good Manufacturing Practices Regulations	CGMPR	2346
Center for High Integrity Software System Assurance	CHISSA	2347
chemi-luminescent immunoassay	ChLIA	2348
criminal investigator	CI	2349
confidential informant	CI	2350
committee meeting	CM	2352
civil money penalty	CMP	2353
certificate of analysis	COA	2354
Committee of Ten Thousand  	COTT	2355
Compliance Policy Council 	CPC	2356
consult review request	CRR	2358
Center Recall Unit	CRU	2359
clinical trial outline	CTO	2360
counseling and testing site 	CTS	2361
confidential unit exclusion 	CUE	2362
Division of AIDS  (NIAID)	DAIDS	2363
doing business as 	dba	2369
Division of Blood Collection and Processing (CBER)	DBCP (CBER)	2370
Division of Blood Establishment and Product Applications (CBER)	DBEPA (CBER)	2371
Debt Collection Act of 1996 	DCIA	2377
Design Control Inspection Strategy	DCIS	2379
Division of Congressional and Public Affairs (CBER)	DCPA (CBER)	2381
Donor Deferral Registry	DDR	2384
Di(2-ethylhexyl)phthalate	DEHP	2385
Division of Emergency and Investigational Operations (ORA)	DEIO (ORA)	2386
Data Evaluation Project	DEP	2388
Division of Ethics and Program Integrity (CBER)	DEPI (CBER)	2389
designated federal official 	DFO	2394
donor lymphocyte infusion	DLI	2400
Dockets Management Branch	DMB	2402
dry powder inhaler	DPI	2406
discipline review [letter]	DR	2407
Deputy Regional Food and Drug Director (ORA)	DRFDD (ORA)	2408
Division of Regulations and Policy (CBER)	DRP (CBER)	2409
Desktop Standardization Project	DSP	2411
Device Tracking Database	DTD	2412
Enterprise Administrative Support Environment	EASE	2417
Department of Labor (U.S.)	DOL	2418
Expert Committee on Biological Standardization (WHO)	ECBS	2419
extra-corporeal membrane oxygenation	ECMO	2420
electronic case report form	e-CRF	2421
establishent inspection	EI	2422
Establishment Inventory (ORA)	EI	2423
enzyme immunoassay	EIA	2424
Expected Investment Fund	EIF	2427
establishment licensing and product surveillance	ELPS	2428
Establishment License Supplement	ELS	2429
European Plasma Fractionation Association 	EPFA	2430
Establishment Product Registration System	EPRS	2431
Export Reform and Enhancement Act of 1996	EREA	2432
Brief Adverse Event Report Review (CDRH)	BAER	2433
Standard Adverse Event Report Review (CDRH)	SAER	2434
Emergency Relocation Site  	ERS	2435
electronic submission coodinator 	ESC	2436
Preliminary Adverse Event Report Review (CDRH)	PAER	2437
excepted trust 	ET	2438
emergency use authorization	EUA	2439
filing action 	FA	2440
Foundation for Accreditation of Hematopoietic Cell Therapy	FAHCT	2441
Formula for Achieving Managerial Excellence	FAME	2442
Frequency of Agents Communicable by Transfusion Study 	FACTS	2443
Food Allergy Network	FAN	2444
Federal Employee Assistance and Education Fund	FEEA	2445
Federal Employees Retirement System	FERS	2446
Fogarty Fellow	FF	2447
Federal Insurance Contributions Act	FICA	2448
Federal Law Enforcement Training Center	FLETC	2449
Fair Labor Standards Act	FLSA	2450
Federal Long Term Care Insurance Program 	FLTCIP	2451
filing meeting 	FM	2452
Federal Management Financial Integrity Act of 1982	FMFIA	2453
Family Medical Leave Act of 1993	FMLA	2454
febrile non-hemolytic reaction 	FNH	2455
financial operating plan 	FOP	2456
Federal Travel Regulations	FTR	2457
functional magnetic resonance imaging	FMRI	2458
fault tree analysis	FTA	2459
genome amplification testing	GAT	2461
Global Collaboration for Blood Safety (WHO)	GCBS	2462
General Clinical Research Centers 	GCRC	2463
geographical information system	GIS	2464
good programming practices	GPP	2465
Government Wide Quality Assurance Program	GWQAP	2466
Highly Active Antiretroviral Therapy û the name commonly given to combinations of anti-HIV drugs	HAART	2467
HTLV-I-associated myelopathy / tropical spastic paraparesis	HAM/TSP	2468
hemoblogin-based oxygen carrier	HBOC	2469
human-computer interaction	HCI	2470
high density polyethylene	HDPE	2471
Hispanic Employee Organization	HEO	2472
Hemophilia Federation of America	HFA	2473
Human Factors and Ergonomics Society	HFES	2474
Hematological Products Branch (CBER) (defunct)	HPB	2475
hematopoietic progenitor cells	HPC	2476
Health Services Administration	HSA	2477
Hemophilia Surveillance System (CDC)	HSS	2478
in accordance with 	IAW	2479
inter-Center agreement 	ICA	2480
"International Council for Commonality in Blood Banking Automation, Inc."	ICCBBA	2481
idiopathic CD4+ T-lymphocytopenia	ICL	2482
International Committee of Medical Journal Editors	ICMJE	2483
Information and Data Committee	IDC	2484
indirect fluorescent antibody	IFA	2485
Immune Deficiency Foundation  	IDF	2486
International Food Information Council	IFIC	2487
"Information Management Consultants, Inc."	IMC	2488
Information Management Coordinating Committee (CBER)	IMCC	2489
International Regulatory Issues Staff (ORA)	IRIS	2490
Investigational Review Board	IRB	2491
International Society of Blood Transfusion	ISBT	2492
"International Society of Blood Transfusion standard for blood, tissue, and organ identification"	ISBT 128	2493
ISBT Working Party on Automation and Data Processing	 WPADP	2494
International Trade Data System	ITDS	2495
Information Technology Implementation Committee (CBER)	ITIC	2496
Inspection Task Force (CBER)	ITF	2497
investigation use only	IUO	2499
in vitro fertilization	IVF	2500
licensing action recommendation	LAR	2501
licensing action recommendation document 	LARD	2502
low-density polyethylene	LDPE	2503
Lot Release Imaging System	LRIS	2504
Large-Volume Parenteral û an injection product having a solution volume which exceeds 100 mL	LVP	2506
monoclonal antibody	mAb	2507
Manufacturers Assistance and Communications Staff (CBER)	MACS (CBER)	2508
manipulated autologous structural cell 	MAS cell	2509
Medical Device Innovation Initiative 	MDII	2511
magnetoencephalography	MEG	2512
Management Improvement Plan	MIP	2514
Mentoring Implementation Working Group	MIWG 	2515
major amendment	MJ	2516
Morbidity and Mortality Weekly Report - published by the CDC.	MMWR	2517
mode of action	MOA	2518
Material Review Board (American National Red Cross)	MRB	2519
magnetic source imaging 	MSI	2520
Mammography Quality Standards Act of 1992	MSQA	2521
mail transport agent 	MTA	2522
material transfer agreement 	MTA	2523
mean time between failures 	MTBF	2524
National Association of Government Communicators	NAGC	2525
		
		
National Biomedical Computer System  (American National Red Cross)	NBCS	2527
National Blood Data Resource Center	NBDRC	2528
National Hemophilia Foundation	NHF	2530
Notice of Initiation of Disqualification Proceeding and Opportunity to Explain	NIDPOE	2531
no inspection made	NIM	2532
National Marrow Donor Program	NMDP	2533
National Notification Center	NNC	2534
National Pharmaceutical Stockpile(CDC) 	NPS	2536
response to not approvable letter 	NR	2537
Nashville (Tennessee) District Office (ORA)	NSV-DO (ORA)	2539
National Technical Information Service  	NTIS	2540
National Testing Laboratory (American National Red Cross) 	NTL	2541
National Vaccine Commission	NVC	2542
new variant Creutzfeldt-Jakob Disease 	nvCJD	2543
Newark District Office (ORA)	NWK-DO (ORA)	2544
"Old Age, Survivors, and Disability Insurance"	OASDI	2546
Office of the Assistant Secretary for Health (DHHS)	OASH	2547
Office of Compliance	OC	2550
Office of the Director	OD	2556
Office of Emergency Preparedness (PHS)	OEP	2559
Office of the General Counsel (DHHS)	OGC	2561
Office of Inspector General (DHHS)	OIG	2564
Office of Information and Regulatory Affairs (OMB) 	OIRA	2566
Oklahoma Medical Research Foundation	OMRF	2569
oral mucosal transudate 	OMT	2570
Organ Procurement Organization	OPO	2573
Organ Procurement and Transplantation Network	OPTN	2574
operational qualification 	OQ	2575
operations research analyst 	ORA	2576
Office of Research Integrity (HHS) 	ORI	2577
Orlando District Office (ORA)	ORL-DO (ORA)	2578
ORACLE System for Center Automation and Retrieval	OSCAR	2580
polyacrylimide gel electrophoresis 	PAGE	2584
Pesticide Analytical Manual  	PAM	2585
problem/action request notice 	PARN	2586
peripheral blood progenitor cell 	PBPC	2587
placental cord blood 	PCB	2588
photochemical treatment 	PCT	2589
Pneumocystis carinii pneumonia	PCP	2590
post donation information	PDI	2591
polyethylene terephthalate 	PET	2593
polyethylene terephthalate G	PETG	2594
pulsed-field gel electrophoresis 	PFGE	2595
prekallikrein activator 	PKA	2599
pre-license inspection (CBER)	PLI	2600
product license [application] supplement	PLS	2601
		
		
primary mode of action	PMOA	2604
Performance Management Program 	PMP	2605
privately owned automobile 	POA	2606
point of contact	POC	2607
program objective memorandum	POM	2608
planned product improvements	PPI	2609
plasma preparation tube 	PPT	2611
prion protein 	PrP	2613
Points To Consider	PTC	2614
Parklawn Training Center	PTC	2615
Pittsburgh Tissue Engineering Initiative	PTEI 	2616
platelet transfusion reaction	PTR	2617
polyvinyl chloride 	PVC	2618
Quality Assurance Officer	QAO	2619
quality system record 	QSR	2620
quality system representative 	QSR	2621
Research Coordinating Committee 	RCC	2622
Retrovirus Epidemiology Donor Study	REDS-II	2623
regulatory negotiation	reg neg	2624
radio-frequency identification	RFID	2625
responsible head 	RH	2626
recombinant immunoblot assay (Chiron «)	RIBAÖ	2627
Resident In Charge	RIC	2628
radioimunoprecipitation assay 	RIPA	2629
Regulatory Information Specialist	RIS	2630
Review Management Coordinating Committee (CBER)	RMCC	2631
Resident Post	RP	2632
relative risk 	RR	2634
repeatedly reactive	RR	2635
respiratory synctial virus immune globulin	RSVIG	2636
respiratory synctial virus immune globulin intravenous	RSVIGIV	2637
research use only	RUO	2638
Special Assistant to the Center Director	SACD	2639
Scientific Advisors and Consultants Staff (CBER)	SACS	2640
state access to FACTS 	SAF	2641
San Francisco District Office	SAN-DO	2642
service computation date 	SCD	2643
system development methodology	SDM	2644
Securities and Exchange Commission (U.S.)	SEC	2646
Service Employees International Union	SEIU	2647
strip immunoblot assay	SIA	2648
simple mail transfer protocol	SMTP	2650
submission of portion of application 	SoPA	2651
single-photon emission computed tomography 	SPECT	2652
Seafood Products Research Center (CFSAN)	SPRC	2653
Systems Steering Committee (CBER)	SSC	2655
sterile connecting device 	STCD	2656
submission tracking number 	STN	2657
small-volume parenteral 	SVP	2658
time and attendance 	T&A	2659
transfusion-associated AIDS 	TAA	2660
transfusion-associated hepatitis 	TAH	2661
Team Biologics Liaison Staff  (CBER)	TBLS	2662
therapeutic exchange plasmapheresis 	TEP	2663
Tissue Engineering and Regenerative Medicine International Society 	TERMIS	2664
Toxic Exposure Surveillance System	TESS	2665
